Puesto,Sueldo_Bruto,Ubicación,Modalidad_Trabajo,Rol,Nivel,Fuente,URL,Fecha_Captura,Sueldo_Aprox_Mercado,Sueldo_Final,Tipo_Dato
Junior Fullstack Developer,29000.0,Madrid,Híbrido,Backend/Fullstack Developer,Junior,Manfred,https://www.getmanfred.com/ofertas-empleo/8227/blackfishid-junior-fullstack-developer-dic25,2026-01-20,30500.0,29000.0,Real
Sr. Service Desk Especialist,35000.0,Madrid,Híbrido,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8239/namirial-senior-servidesk-specialist-ene26,2026-01-20,56500.0,35000.0,Real
Growth Consultant,35000.0,Remoto,Telemático,IT Generalist,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8229/ebolution-growth-consultant-dic25,2026-01-20,35500.0,35000.0,Real
.Net Developer,40000.0,Madrid,Híbrido,IT Generalist,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/7681/quasar-net-developer-abr25,2026-01-20,35500.0,40000.0,Real
Java Developer,40000.0,Sevilla,Híbrido,IT Generalist,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8208/tier1-java-developer-dic25,2026-01-20,35500.0,40000.0,Real
.NET Developer,40000.0,Nigrán,Híbrido,IT Generalist,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8226/marine-instruments-net-developer-dic25,2026-01-20,35500.0,40000.0,Real
Frontend Shopify Engineer,45000.0,Madrid,Híbrido,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8212/cubro-design-frontend-shopify-engineer-dic25,2026-01-20,51500.0,45000.0,Real
QA Automation,45000.0,Remoto,Telemático,IT Generalist,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8235/fcm-qa-automation-ene26,2026-01-20,35500.0,45000.0,Real
Backend Developer,45000.0,Madrid,Híbrido,Backend/Fullstack Developer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8160/cuimo-backend-developer-dic25,2026-01-20,42000.0,45000.0,Real
Mid Data Engineer,47500.0,Madrid,Híbrido,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8230/twinco-capital-mid-data-engineer-dic25,2026-01-20,51500.0,47500.0,Real
Backend Integration Engineer,50000.0,Madrid,Híbrido,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8211/cubro-design-backend-integration-engineer-dic25,2026-01-20,51500.0,50000.0,Real
Tech Lead Java,50000.0,N/A,Híbrido,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8209/tier1-tech-lead-java-dic25,2026-01-20,56500.0,50000.0,Real
Head of sales,55000.0,Madrid,Híbrido,IT Generalist,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8167/retree-space-solutions-head-of-sales-oct25,2026-01-20,35500.0,55000.0,Real
Data Engineer,57500.0,Madrid,Híbrido,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8215/pepper-finance-data-engineer-dic25,2026-01-20,51500.0,57500.0,Real
Senior Backend Engineer (Python),60000.0,Madrid,Híbrido,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8214/dcycle-senior-backend-python-engineer-dic25,2026-01-20,75000.0,60000.0,Real
Tech Lead Back,60000.0,Madrid,N/A,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8112/eri-bancaire-tech-lead-back-nov25,2026-01-20,56500.0,60000.0,Real
Senior Backend Developer,60000.0,Madrid,Híbrido,Backend/Fullstack Developer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8184/kibo-ventures-python-developer-nov25,2026-01-20,57500.0,60000.0,Real
Tech Lead (PHP),62500.0,Remoto,Telemático,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8147/law-business-research-tech-lead-php-and-ai-oct25,2026-01-20,56500.0,62500.0,Real
Architect /Developer Senior .Net,65000.0,Remoto,Telemático,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8134/taykus-arquitectoprogramador-senior-net-ene26,2026-01-20,56500.0,65000.0,Real
Senior Tech Lead (Next.js),65000.0,Madrid,Híbrido,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8178/product-hackers-senior-tech-lead-nextjs-nov25,2026-01-20,56500.0,65000.0,Real
Senior Backend Engineer,65000.0,Madrid,Híbrido,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8236/colliers-senior-backend-engineer-ene26,2026-01-20,75000.0,65000.0,Real
Senior Backend Engineer,67500.0,Barcelona,Híbrido,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8221/masterdoc-senior-backend-engineer-dic25,2026-01-20,75000.0,67500.0,Real
Infrastructure Lead,70000.0,Madrid,Híbrido,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8203/pepper-finance-infrastructure-lead-nov25,2026-01-20,56500.0,70000.0,Real
Node Backend Developer,70000.0,Remoto,Telemático,Backend/Fullstack Developer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8204/storelink-node-backend-developer-dic25,2026-01-20,42000.0,70000.0,Real
Devops Engineer,70000.0,Madrid,Híbrido,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8199/colliers-devops-engineer-nov25,2026-01-20,51500.0,70000.0,Real
Founding Product Engineer,70000.0,Madrid,Híbrido,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8216/invopop-product-engineer-dic25,2026-01-20,51500.0,70000.0,Real
Senior Software Engineer,72500.0,Remoto,Telemático,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8225/femtasy-senior-software-engineer-ene26,2026-01-20,75000.0,72500.0,Real
DevOps Engineer,80000.0,Remoto,Telemático,Data Engineer,Mid,Manfred,https://www.getmanfred.com/ofertas-empleo/8180/ifeel-devops-engineer-ene26,2026-01-20,51500.0,80000.0,Real
Senior Backend Engineer,85000.0,Remoto,Telemático,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8233/laserhub-sr-backend-engineer-ene26,2026-01-20,75000.0,85000.0,Real
React Native Lead,85000.0,Madrid,Híbrido,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8190/orca-react-native-lead-nov25,2026-01-20,56500.0,85000.0,Real
Senior Full-Stack Engineer,85000.0,Remoto,Telemático,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8191/grayhair-senior-software-engineer-nov25,2026-01-20,75000.0,85000.0,Real
Senior Fullstack Engineer,90000.0,Madrid,Híbrido,Data Engineer,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8217/interactiveai-senior-fullstack-engineer-ene26,2026-01-20,75000.0,90000.0,Real
CIO,105000.0,Marbella,Híbrido,IT Generalist,Senior,Manfred,https://www.getmanfred.com/ofertas-empleo/8206/fuerte-group-hotels-cio-dic25,2026-01-20,56500.0,105000.0,Real
Data Manager,,No especificada,Remoto,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-manager-deloitte/pyspark-sparksql/rf-d24f1b2252c85365d64e,2026-01-20,56500.0,56500.0,Estimado
