Puesto,contenido,url,fuente,fecha_captura
Data Manager,"Descripción de la oferta de empleo  ´Te imaginas participando en la transformación de las principales organizaciones nacionales e internacionales?  En Deloitte estamos comprometidos con generar un impacto en la sociedad, en nuestros clientes y en ti.  Funciones Principales - Más de 6 años de experiencia como Data Engineer, trabajando con grandes volúmenes de datos en entornos cloud y on-premise. - Liderazgo técnico en proyectos y coordinación de equipos multidisciplinarios. - Dominio avanzado en procesamiento distribuido con PySpark, SparkSQL y Python. - Diseño y optimización de consultas SQL y NoSQL. - Sólida comprensión de modelado de datos y arquitectura de bases de datos. - Capacidad para definir estrategias de datos y colaborar con arquitectos en la construcción de soluciones escalables y seguras. - Inglés avanzado para comunicación con equipos y clientes internacionales en posibles colaboraciones en proyectos globales.  Stack Tecnológico - Plataformas y servicios de datos: Snowflake, Databricks, Cloudera Data Services. - Servicios cloud: Azure, AWS, GCP (incluyendo Fabric, Glue, Redshift, Dataproc, BigQuery). - Herramientas de integración y despliegue: conocimientos en DevOps (Azure Devops, Jenkins, Gitlab...), automatización y buenas prácticas de seguridad en la nube. - Deseable y valorable conocimientos en las siguientes tecnologías: DBT, PowerBI, Streamlit. - Certificaciones: se valoran certificaciones en las principales tecnologías mencionadas (Snowflake, Databricks, Azure, AWS, GCP).  Formación - Titulación en Ingeniería Informática, Telecomunicaciones o áreas afines.  Nivel de Inglés - Alto (B2 o superior).  ¿Cómo es trabajar en Deloitte? Proyectos de alto impacto donde tendrás un largo recorrido y aprendizaje  Un día a día híbrido-flexible: tendrás horario flexible y un buen equilibrio entre el teletrabajo y el trabajo en equipo en nuestras oficinas o las de nuestros clientes  Buen ambiente dentro y fuera de la oficina: disfrutarás de varios teambuildings al año, actividades culturales y deportivas... ¡y mucho más!  Bienestar integral: cuídate con nuestro programa de salud física, mental y financiera... ¡y con equipo médico en las oficinas!  Impacto social: Podrás apuntarte a una gran cantidad de voluntariados de alcance nacional e internacional y a proyectos pro-bono con los que poner tu tiempo y talento al servicio de quienes más lo necesitan  Cultura del feedback y aprendizaje continuo: crecerás en un entorno inclusivo donde la igualdad de oportunidades y tu plan personalizado de formación impulsarán tu desarrollo. ¿Ya te visualizas en la Deloitte University de París?  Beneficios exclusivos por ser parte de Deloitte: podrás disfrutar de un gran catálogo de beneficios y de un completo plan de retribución flexible  Si te gusta lo que lees, estos son tus próximos pasos: - Aplica a la oferta haciendo clic en ´Enviar candidatura ahora´ y completa tu perfil - Si encajas en el puesto, nuestro equipo de talento te contactará para conocerte mejor  ¡Comienza el proceso! Te iremos guiando por las diferentes fases hasta tu incorporación.",https://www.tecnoempleo.com/data-manager-deloitte/pyspark-sparksql/rf-d24f1b2252c85365d64e,Tecnoempleo,2026-01-20
Data Analyst & Reporting Services,"Descripción de la oferta de empleo  ¿Tienes experiencia trabajando con datos y herramientas de análisis? ¿Te apasiona transformar información en conocimiento útil para la toma de decisiones? ¡En Randstad estamos buscando personas como tú!  nuestro cliente  Multinacional tecnológica líder a nivel mundial, con más de 80 años de trayectoria. Con una plantilla de miles de profesionales en más de 170 países. Nuestro cliente se distingue por su compromiso con la innovación, la sostenibilidad y el bienestar de sus empleados, ofreciendo beneficios altamente valorados y un entorno de trabajo inclusivo y colaborativo.  tus funciones  - Proporcionar informes mensuales de la cantidad de productos reutilizados a los ejecutivos de la compañía. Este número se utilizará para calcular resultados de sostenibilidad. - Trabajar con diferentes organizaciones para recuperar los datos, asegurarse de que sean correctos, combinarlos y calcular lo que pesan, automatizar el proceso tanto como sea posible, ya que hoy en día es manual, ayudar en la recopilación de datos. - Asistencia a meetings. - Análisis y recopilación de datos de proveedores.  requisitos del puesto - Formación: Grado - Idiomas: Inglés: C1 - Conocimientos: data analysis, Data Analyst Developer , control y gestión de reportes, Analysis data - Experiencia: 2 años  - Familiarizado/a con métricas de desempeño ESG (Ambientales, Sociales y de Gobernanza) - Experiencia en visualización de datos y automatización de procesos - Experiencia en comunicación con terceros externos (proveedores) para resolver dudas o completar vacíos de información (data gaps) - Buscamos a una persona con capacidad organizativa, proactiva, ágil, rigurosa y con ganas - Nivel de inglés advanced o proficiency (hablado y escrito) - Excel avanzado y experiencia en análisis de datos, acostumbrada a trabajar con datos/ números - Power BI nivel alto y de otras herramientas de informes y de automatización de procesos - Se valorarán conocimientos de Pyton  tus beneficios  - CONTRATO ESTABLE - HORARIO FLEXIBLE: Inicio de 8-10h, salida de 17-19h - SALARIO: 28.000 euros brutos anuales (en 12 pagas) - Posición híbrida (2-3 días de teletrabajo)  ¿por qué con randstad?  Randstad, tu mejor elección  Trabajar con nosotros es poder elegir entre una amplísima variedad de ofertas de los mejores empleos y en las mejores empresas. Es elegir que te contraten con todas las garantías legales. Es poder firmar el contrato en remoto con todas las garantías y acceder a tu documentación de una manera rápida y sencilla, gracias a nuestra innovadora tecnología.  Siempre cerca de ti, realizamos un seguimiento personalizado de tu incorporación para facilitarte la adaptación a tu nuevo puesto de trabajo. Y cómo queremos que sigas creciendo, contaremos contigo para futuras oportunidades de empleo.  Elige trabajar con Randstad y te ayudaremos a encontrar ese empleo que mejor se adapta a ti.  somos empleo sostenible  La ambición de Randstad es ser la compañía de talento más equitativa y especializada del mundo. Ayudamos a las personas y a las organizaciones a desarrollar su verdadero potencial, buscando oportunidades que impulsen la sostenibilidad económica y prioricen el bienestar de las personas y el planeta.  empleo inclusivo  Nuestra convicción de que todas las personas, independientemente de su procedencia, tienen las mismas oportunidades de éxito se demuestra en nuestros procesos, donde promovemos la equidad laboral a través equipos diversos e inclusivos.  compromiso NetZero  Reforzamos nuestro compromiso ambiental para lograr la neutralidad de carbono en 2050 a través de la iniciativa Science Based Targets (SBTi).",https://www.tecnoempleo.com/data-analyst-reporting-services-randstad-es/data/rf-2c86146012d0a3fcb54a,Tecnoempleo,2026-01-20
Senior Data Scientist Credit Modelling,"Descripción de la oferta de empleo  GROUP BNP PARIBAS  BNP Paribas Group is the top bank in the European Union and a major international banking establishment. It has close to 185,000 employees in 65 countries. In Spain we are more than 5,100 employees within 13 business lines.  RISK HUB  RISK is an integrated and independent control function of the BNP Paribas Group. It is the second line of defense on the risk management activities of the Group which are under its direct responsibilities, including credit and counterparty risk, market risk, funding and liquidity risk, interest rate and foreign exchange risks in the banking book, insurance risk, operational risk, and environmental and social risks.  RISK aims at being a partner of the businesses by contributing to their sustainable development, but also a gatekeeper to ensure risks taken remain compatible with the Group´s Risk Appetite and its strategy.  RISK Iberian Hub Madrid is a transversal platform servicing the RISK Function by covering added-value activities around credit risk, market risk, operational risk and data protection. Offering a wide range of services to RISK teams, from consulting to cyber security going through data analysis, modelling or artificial intelligence.  ABOUT THE JOB  Want to help shape the bank of tomorrow today?  How can the Bank leverage data to assess credit risk on its portfolio of existing and new clients  Risk assessment encompasses various elements: how likely is it that a client will not be able to comply with the contractual requirements of his loan? What will be the client´s outstanding balance in this situation? What loss is the bank expected to suffer if a client is no longer able to repay a loan?  As a member of the RISK Models team, you will join a team of experts whose goal is to answer these questions through the development of statistical or expert models.  By analysing historical data, working together with the business lines, IT department, the modelling experts at BNP Paribas group and taking into account the remarks of supervisor representatives, the team creates tools that help the bank calculate the capital requirements for its credit exposure, the risk component of the credit price or that contribute to the approval process of a new credit.  RESPONSIBILITIES  Your personal tasks will be:  • Designing and developing models for credit risk on the scope mainly of companies  • Finding, managing and using the most appropriate data sources for modelling purposes  • Working with expert colleagues and business representatives to examine the results and keep models grounded in reality  • Documenting each step of the development and informing decision makers by presenting them options and results  • Ensuring correct implementation of the tools (together with the IT department)  • Continuously assessing models by means of back-testing  • Answering specific, external requests regarding statistics related to credit risk assessment  • Following-up evolutions in the regulation and in credit risk modelling best-practices  • Potential expansion of responsibilities to encompass HR-related tasks, complementing existing operational duties.  REQUIREMENTS  - Studies  • Master degree or higher in Mathematics, Economy or Econometrics, Statistics or a similar background where analytics and figures prevail.  - Experience  • Work experience of at least 5 years in credit risk modelling (PD/LGD/LGDD/CCF).  - Languages  • You express yourself perfectly in English, in particular in the writing form. You ideally speak French fluently.  SKILLS  - Technical  • You have strong SAS programming skills.  • It is considered an asset if you have some experience with Big Data technologies, ratings & scorings use across the bank or credit products.  - Transversal & Behavioral  • You are able to manage long-term deadlines and plan your work accordingly. • You are creative, you pay attention to details, and you are able to work easily with both technical and business-oriented people.  BENEFITS  • Training programs, career plans and internal mobility opportunities, national and international thanks to our presence in different countries.  • Diversity and Inclusion Committee that ensures an inclusive work environment. In recent years, several employee communities have been created to organize diversity and inclusion awareness actions (PRIDE, We Generations and MixCity).  • Corporate volunteering program (1 Million Hours 2 Help) in which employees can dedicate time out of their working hours to volunteer activities.  • Flexible compensation plan.  • Hybrid telecommuting model (50%).  • 32 vacation days.  Diversity and inclusion commitment  BNPParibas Group in Spain is an equal opportunity employer and proud to provide equal employment opportunity to all job seekers. We are actively committed to ensuring that no individual is discriminated against on the grounds of age, disability, gender reassignment, marriage or civil partnership status, pregnancy and maternity/paternity, race, religion or belief, sex or sexual orientation. Equity and diversity are at the core of our recruitment policy because we believe that they foster creativity and efficiency, which in turn increase performance and productivity. We strive to reflect the society we live in, while keeping with the image of our clients.",https://www.tecnoempleo.com/senior-data-scientist-credit-modelling-bnp-paribas/data/rf-1a211708d29ec373c649,Tecnoempleo,2026-01-20
Data Engineer,"Descripción de la oferta de empleo  Role description  ¡Seguimos buscando talento...y nos encantaría que te unieras a nuestro equipo!  Para que nos conozcas algo mejor, UST es una multinacional norteamericana certificada como Top Employer y Great Place to Work con más de 35.000 empleados a nivel global y con presencia en más de 35 países. Somos líderes en servicios de tecnología digital y proporcionamos soluciones tecnológicas de gran alcance a grandes compañías.  Estamos en búsqueda de un Data Engineer para trabajar en un proyecto de uno de nuestros principales clientes del sector bancario  Modalidad: 100% remoto  Responsabilidades - Participación en las tareas del proyecto AVA-FVA, desempeñando funciones de Data Engineer en la definición y automatización de procesos desarrollados con tecnologías Big Data (Spark / Scala) dentro del área de Market Risk. - Participar en un equipo de trabajo enfocado a tareas comunes de Big Data.  Requisitos Obligatorios - Experiencia en proyectos de índole tecnológica. - Conocimiento avanzado de sentencias SQL. - Conocimiento técnico de Azure Databricks. - Conocimiento de Airflow como workflow/pipelines manager. - Conocimiento técnico de lenguajes de programación (Scala) y plataformas Spark y Hadoop. - Experiencia en diseño de ETL y modelos de datos. - Experiencia en la realización de pruebas y validación de datos. - Nivel de inglés B2/C1. - Conocimiento básico de Shell scripting.  Requisitos Deseables (No obligatorios) - Experiencia en el sector banca, especialmente en áreas relacionadas con Riesgos de Mercado. - Más de 2 años de experiencia en roles similares.  ¿Qué te ofrecemos?  23 días laborables de vacaciones y el 24 y 31 de diciembre.  Numerosos beneficios sociales (seguro médico, ayuda al teletrabajo, seguro de vida y seguro de accidentes).  Programa de Retribución Flexible (tarjeta comida, cheques guardería, tarjeta transporte, clases de inglés online, seguro médico para tu familia...).  Acceso gratuito a varias plataformas de formación.  Estabilidad y carrera profesional.  Tenemos implantado un plan de compensación de referencias internas.  Posibilidad de elección de percibir tu salario en 12 o 14 pagas.  Medidas de conciliación (horario flexible, teletrabajo, asesoramiento de especialistas (psicólogo, nutricionista, entrenador personal), jornada intensiva los viernes y en verano según proyecto).  Plataforma UST Club descuentos y descuentos en gimnasios.  Si quieres conocer más, no dudes en inscribirte y nos pondremos en contacto contigo para ampliarte información de la posición ¡Te estamos esperando!  En UST nos comprometemos con la igualdad de oportunidades en nuestros procesos de selección y no realizamos ningún tipo de discriminación por razón de raza, género, discapacidad, edad, religión, orientación sexual o nacionalidad. Estamos comprometidos con la discapacidad y apostamos por la incorporación de personas con certificado de discapacidad.",https://www.tecnoempleo.com/data-engineer-ust/spark-scala/rf-65d318f3f2af539fbb48,Tecnoempleo,2026-01-20
Data Engineer / Data Processing,"Descripción de la oferta de empleo  En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes, y en ofrecer a nuestros candidatos los mejores proyectos.  En este momento buscamos un/a Data Engineer para participar en la revisión, validación y reconciliación de datos provenientes tanto de soluciones de reporting automatizadas (UDP – Unified Data Platform) como de fuentes de reporting manuales (Excel). El objetivo principal del rol será identificar discrepancias, asegurar la calidad del dato y escalar inconsistencias, garantizando la fiabilidad y precisión de la información reportada, especialmente en datos de ingredientes y packaging.  ¿Qué buscamos en ti? - Experiencia en procesamiento y análisis de datos. - Capacidad para trabajar con grandes volúmenes de datos y múltiples fuentes. - Buen manejo de Excel (validaciones, comparativas, análisis). - Conocimientos en plataformas de datos o reporting automatizado (UDP - Unified Data Platform). - Alta atención al detalle y enfoque en calidad del dato.  ¿Cuáles serán algunas de tus funciones? - Revisar y validar datos procedentes de plataformas de reporting automatizadas (UDP). - Analizar y contrastar información proveniente de fuentes manuales (Excel). - Identificar discrepancias e inconsistencias en los datos. - Escalar incidencias de calidad de datos a los equipos correspondientes. - Asegurar la fiabilidad, precisión y coherencia de los datos reportados. - Colaborar con equipos de datos y negocio para la resolución de problemas de reconciliación. - Documentar hallazgos, procesos y reglas de validación de datos.  ¿Qué ofrecemos en esta posición? - Contrato indefinido en Arelance - Modalidad de trabajo 100% remoto dentro de España - SBA a negociar según experiencia y valía. - Acceso a formación - Contratación indefinida o flexibilidad para contratación freelance - Jornada intensiva en verano y todos los viernes del año.   Si estás interesado/a en una oportunidad como ésta, ¡inscríbete! ¡Queremos conocerte!  ** Solo se valorarán candidaturas con residencia y permiso de trabajo vigente en España **",https://www.tecnoempleo.com/data-engineer-data-processing-arelance/udp-unified-data-platform/rf-1d061fc092c7e35a8545,Tecnoempleo,2026-01-20
Data Engineer Databricks,"Descripción de la oferta de empleo  ´Te imaginas participando en la transformación de las principales organizaciones nacionales e internacionales?  En Deloitte estamos comprometidos con generar un impacto en la sociedad, en nuestros clientes y en ti.  Desde nuestro equipo de Deloitte Engineering Center, estamos buscando personas que se incorporen a nuestra área de Artificial Intelligence & Data.  ¿Cuál es el reto?  Buscamos un Data Engineer con amplio conocimiento de PySpark, Python, AWS y/o Databricks y control de versiones con Git, para participar en proyectos nacionales e internacionales.  ¿Cómo te imaginamos?  - Eres Graduado o posees Máster en Ingeniería Informática, Data Science, o similares. - Posees entre 2-5 años de experiencia como ingeniero de datos trabajando en procesamiento de grandes volúmenes de datos. - Tienes experiencia con PySpark, SparkSQL y Phyton para el desarrollo de procesos ETL y pipelines de datos. - Has desarrollado soluciones de datos utilizando servicios de AWS y/o Databricks (certificaciones valorables). - Posees experiencia con sistemas de control de versiones, preferiblemente Git. - Tienes experiencia en buenas prácticas de desarrollo de software, por ejemplo: pruebas unitarias, arquitectura de aplicaciones de datos, optimización... - Posees conocimientos de los sistemas de bases de datos, modelado de datos y SQL. - Tienes capacidad de trabajo en equipo, resolución de problemas y has trabajado en entornos colaborativos. - Buenas habilidades de comunicación y capacidad para aprender de manera autodidacta. - Nivel avanzado de inglés (B2 o superior), con capacidad para comprender y comunicar ideas técnicas complejas tanto de forma oral como escrita.  ¿Cómo es trabajar en Deloitte? Proyectos de alto impacto donde tendrás un largo recorrido y aprendizaje  Un día a día híbrido-flexible: tendrás horario flexible y un buen equilibrio entre el teletrabajo y el trabajo en equipo en nuestras oficinas o las de nuestros clientes  Buen ambiente dentro y fuera de la oficina: disfrutarás de varios teambuildings al año, actividades culturales y deportivas... ¡y mucho más!  Bienestar integral: cuídate con nuestro programa de salud física, mental y financiera... ¡y con equipo médico en las oficinas!  Impacto social: Podrás apuntarte a una gran cantidad de voluntariados de alcance nacional e internacional y a proyectos pro-bono con los que poner tu tiempo y talento al servicio de quienes más lo necesitan  Cultura del feedback y aprendizaje continuo: crecerás en un entorno inclusivo donde la igualdad de oportunidades y tu plan personalizado de formación impulsarán tu desarrollo. ¿Ya te visualizas en la Deloitte University de París?  Beneficios exclusivos por ser parte de Deloitte: podrás disfrutar de un gran catálogo de beneficios y de un completo plan de retribución flexible  Si te gusta lo que lees, estos son tus próximos pasos: - Aplica a la oferta haciendo clic en ´Enviar candidatura ahora´ y completa tu perfil - Si encajas en el puesto, nuestro equipo de talento te contactará para conocerte mejor  ¡Comienza el proceso! Te iremos guiando por las diferentes fases hasta tu incorporación.",https://www.tecnoempleo.com/data-engineer-databricks-deloitte/pyspark-python/rf-808912e3e22aa3f8534b,Tecnoempleo,2026-01-20
Data Engineer - Talend + PySpark,"Descripción de la oferta de empleo  En serem buscamos un/a Data Engineer con al menos 3 años de experiencia en Talend y PySpark para participar en proyectos de integración y procesamiento de datos a gran escala en entornos distribuidos. Formarás parte de un equipo técnico dinámico, trabajando en soluciones ETL/ELT y plataformas Big Data, con posibilidad de proponer mejoras y trabajar con buenas prácticas de desarrollo. Requisitos: • Mínimo 3 años de experiencia como Data Engineer. • Experiencia sólida en Talend (Data Integration). • Conocimiento avanzado de PySpark y procesamiento distribuido. • Experiencia con procesos ETL y manejo de grandes volúmenes de datos. • Buen manejo de SQL. • Capacidad para trabajar de forma autónoma y en remoto.  Se valorará: • Conocimiento de entornos cloud (AWS, Azure o GCP). • Experiencia en Apache Airflow, Docker, Git. • Nivel intermedio de inglés técnico. Condiciones: • 📍 100% Teletrabajo • 💰 Salario: 42.000 € brutos anuales • 📄 Contrato indefinido • 🕓 Jornada completa con flexibilidad horaria • 🌍 Proyecto estable y de largo recorrido   Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal. Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad. Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción. Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato. Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector TI.",https://www.tecnoempleo.com/data-engineer-talend-pyspark-serem/etl-elt/rf-215d1307b235d377da4a,Tecnoempleo,2026-01-20
Profesor/a Inteligencia Artificial y Big Data,"Descripción de la oferta de empleo  Buscamos un/a profesional con sólida experiencia en Inteligencia Artificial para incorporarse como docente en nuestro Máster de especialización en IA y Big Data, dentro del entorno de la Formación Profesional, Madrid, turno de tarde 16:30 a 21:00 h L a J. El candidato ideal combinará competencias técnicas actualizadas con habilidades pedagógicas para impartir clases presenciales, prácticas y alineadas con las demandas del mercado laboral.  Responsabilidades principales  • Impartir contenidos relacionados con IA y en modalidad presencial, siguiendo el programa formativo oficial. • Desarrollar e impartir sesiones prácticas sobre:  o Machine Learning (ML) y Deep Learning (DL) o Procesamiento de datos masivos (Big Data) o Programación en Python aplicada a IA o Bibliotecas como Scikit-learn, TensorFlow, PyTorch, Pandas o Modelado y análisis de datos con herramientas como Jupyter, Spark o Power BI  • Módulos completos (Ya generada la documentación):  o Modelos de IA o Sistemas de aprendizaje automático o Programación en IA  • Guiar a los estudiantes en proyectos reales o simulados, fomentando la resolución de problemas y el pensamiento crítico. • Evaluar el aprendizaje del alumnado mediante exámenes, actividades prácticas y seguimiento de proyectos. • Participar en la mejora continua del programa formativo y en la coordinación docente. • Acompañar al alumnado en su orientación profesional hacia perfiles de técnico especialista en IA y datos.  Requisitos mínimos  • Formación especializada en Inteligencia Artificial, Ciencia de Datos o Big Data. • Experiencia demostrable como docente o formador en entornos técnicos y/o experiencia en proyectos de IA, Data Science y Big DATA. • Dominio de Python y frameworks de IA. • Capacidad para explicar conceptos complejos de forma didáctica y práctica. • Conocimiento del entorno educativo de Formación Profesional (valorable experiencia previa en FP de grado superior o máster de especialización).  Se valorará positivamente  • Experiencia con plataformas de formación presencial (pizarra digital, herramientas de laboratorio, etc.). • Certificaciones profesionales (Google Cloud AI, Azure AI Engineer, etc.). • Participación en proyectos innovadores, investigación o divulgación técnica. • Capacidad para generar material docente actualizado y orientado a la empleabilidad.  Ofrecemos:  • Clases presenciales Madrid, turno de tarde L a J 16:30 a 21:00h. • Salaria a convenir según valía. • Incorporación a un proyecto educativo innovador, con fuerte conexión con la industria tecnológica. • Entorno de trabajo colaborativo con otros profesionales del sector. • Posibilidad de continuidad o ampliación en otras áreas del centro educativo. • Incorporación a un centro educativo en pleno crecimiento. • Proyecto educativo sólido y orientado al empleo. • Entorno tecnológico y dinámico.",https://www.tecnoempleo.com/profesor-inteligencia-artificial-big-data-gm-quali/inteligencia-artificial/rf-b463148122fe732c7c4f,Tecnoempleo,2026-01-20
Data Engineer,"Descripción de la oferta de empleo  Data Engineer - EY GDS Spain - Hybrid  The opportunity  This is a fantastic opportunity to be part of a leading firm whilst being instrumental in the growth as you get to work with high quality team to support clients ensuring the stability of global companies through best-in-class solutions, automation and innovation, working with an international team  As a member of our team in the EY GDS Spain office in Malaga, you´ll have a chance to extend your knowledge & experience by working on interesting projects with the newest technologies and approaches. You´ll support clients in choosing the most suitable business solution and take part in digital transformation.  Your key responsibilities  As a Data Engineer, your responsibilities will include: - Design, implement, and test solutions for various Analytics use cases (Batch Analysis; Streaming Analytics; Advanced Analytics or Machine Learning; Generative AI) on major public cloud infrastructures (e.g., Azure, Google Cloud) and cloud-agnostic data warehousing solutions (Snowflake, Databricks). - Lead the design and development of scalable and efficient data pipelines, integrating them into cloud-native architectures. - Research and evaluate innovative technologies in the Data & AI domain. - Collaborate with interdisciplinary teams to ensure project delivery. - Support the management of relationships with clients and technology partners.  Skills and attributes for success  To thrive in this role, key skills and attributes for success include: - Curiosity and commitment to researching and adopting innovative technologies in the Data & AI space. - Excellent collaboration skills to work effectively with cross-functional and interdisciplinary teams. - Strong communication skills for clear stakeholder engagement and client relationship support. - Ability to thrive in consulting or enterprise environments, balancing technical delivery with client-facing responsibilities. - Proactive mindset and team-oriented attitude, contributing to a positive and productive work environment. - Fluent in English.  To qualify for the role, you must have - Degree in engineering or scientific (STEM) disciplines. - 2 years of experience Data & Analytics projects, preferably in consulting or enterprise environments - Experience developing solutions in at least two of the following platforms: Azure, Databricks, Google Cloud (BigQuery), Snowflake. - SQL and Python - Experience in designing and developing modern data architectures (Data Lake, Data Warehouse, Data Mesh). - Good communication skills and a strong team-oriented attitude. - Fluency in English  Ideally, you´ll also have - B2 in Italian is a plus - Experience in Machine Learning. - Knowledge of Data Integration tools (e.g., Informatica, Talend, Data Factory, etc.). - Experience with Generative AI or MLOps projects. - Familiarity with visualization tools (Qlik, Power BI).  What we look for  We seek individuals who are passionate about their work and possess outstanding skills in their field. If You have a highly developed business acumen, exceptional interpersonal skills, and a willingness to embrace new professional challenges, this role is for You.  What we offer  In EY GDS Spain, we´re committed to fostering a vibrant environment where every team member can thrive. We provide a space for continuous learning and the flexibility to define your own success, empowering you to make a meaningful impact in your own way. Our diverse and inclusive culture values who you are and encourages you to help others find their voice.",https://www.tecnoempleo.com/data-engineer-ey/python-sql/rf-3fcd13e3521803bb8445,Tecnoempleo,2026-01-20
Enterprise Data & AI Architect for SAP,"Descripción de la oferta de empleo  We want to welcome a results-driven Data & AI professional with deep SAP background and experience in Enterprise Data & AI Architecture for SAP clients to join our SAP Industry Platforms Team (IPT) in Europe. To ensure success as a professional consultant, you should possess extensive knowledge of Enterprise Data & AI architecture and solutions, incl. Enterprise Reporting, Analytics and AI on SAP data. Upon joining the IPT SAP practice in Europe, you will have the opportunity to develop further your career in SAP across Europe, work with senior SAP experts and drive SAP Data & AI business in Europe.  What`s in it for you: - Work with leading European and global clients on complex SAP Data & AI transformation programs. - Join a senior team focused on thought leadership, origination, and delivery of large-scale SAP initiatives. - Access extensive career development opportunities and a wide range of employee benefits.  Key responsibilities: - Design and shape enterprise-scale Data & AI architectures for SAP clients, ensuring alignment with business goals and transformation programs. - Support pre-sales activities by pitching and shaping SAP Data & AI solutions and acting as a subject matter expert. - Lead delivery workstreams for enterprise reporting and analytics in large SAP S/4HANA transformations. - Communicate complex data and AI concepts clearly to stakeholders using storytelling techniques. - Collaborate with clients, ecosystem partners, and diverse teams to solve challenges and drive successful outcomes.  Necessary Knowledge / Skills: - Deep expertise in SAP Data & AI architecture, including enterprise reporting, analytics, and AI on SAP data. - Strong technical knowledge of SAP platforms (S/4HANA, BW/4HANA, SAP BTP) and modern data platforms (Databricks, Snowflake, Azure, Google Cloud). - Proven experience in shaping and implementing data solutions within large SAP transformation programs. - Excellent communication and collaboration skills, with ability to articulate business value and technical concepts. - Familiarity with agile and waterfall methodologies and experience leading mixed, distributed teams.  About Accenture  Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services-all powered by the world´s largest network of Advanced Technology and Intelligent Operations centers. Our 537,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.",https://www.tecnoempleo.com/enterprise-data-ai-architect-for-sap-accenture/hana-databricks/rf-890515f0b246c3382846,Tecnoempleo,2026-01-20
